Months,Values
2017 OCT,-1.3
2017 NOV,0.7
2017 DEC,-0.7
2018 JAN,11.5
2018 FEB,9.3
2018 MAR,15.4
2018 APR,8.5
2018 MAY,6.2
2018 JUN,1
2018 JUL,4.1
2018 AUG,2.5
2018 SEP,-11.5
2018 OCT,-5
2018 NOV,-7
2018 DEC,-11.8
2019 JAN,-16.4
2019 FEB,-10
2019 MAR,-7.3
2019 APR,-7.2
2019 MAY,-1.8
2019 JUN,-4.8
2019 JUL,-1.2
2019 AUG,-2.5
2019 SEP,9.1
2019 OCT,12.4
2019 NOV,11.9
2019 DEC,10
2020 JAN,8.6
2020 FEB,3.5
2020 MAR,-4.9
2020 APR,-18.9
2020 MAY,-8.5
2020 JUN,-7.2
2020 JUL,-1
2020 AUG,3.3
2020 SEP,-0.5
2020 OCT,-3
2020 NOV,2.2
2020 DEC,-7.9
2021 JAN,-2
2021 FEB,4
2021 MAR,6.7
2021 APR,27.6
2021 MAY,7.9
2021 JUN,10.2
2021 JUL,4.3
2021 AUG,0
2021 SEP,0.9
2021 OCT,-1.9
2021 NOV,-3.4
2021 DEC,7
2022 JAN,1.8
2022 FEB,-6.6
2022 MAR,-2.4
2022 APR,-4
2022 MAY,-6.2
2022 JUN,-5.8
2022 JUL,-7.2
2022 AUG,-6
2022 SEP,-8.1
2022 OCT,-7.5
2022 NOV,-8.9
2022 DEC,-9.2
